Date and Time,Aggregated Power,Voltage,Current,Power,Appliance
2024-08-01 15:50:01,188.552,230,0.879,188.552,TV
2024-08-01 15:50:01,7211.252,230,35.722,7022.701,6 Ton AC
2024-08-01 15:50:01,7461.639,233,1.259,250.387,Refrigerator
2024-08-01 15:58:09,999.613,231,5.174,999.613,Vacuum Cleaner
2024-08-01 15:58:09,8115.563,231,36.283,7115.95,6 Ton AC
2024-08-01 15:58:09,8306.576,233,0.874,191.014,TV
2024-08-01 16:04:03,1498.256,231,6.368,1498.256,Iron
2024-08-01 16:04:03,2387.792,232,3.98,889.537,Microwave Oven
2024-08-01 16:04:03,4004.96,230,7.093,1617.168,Hair Dryer
2024-08-01 16:13:02,1561.355,232,6.799,1561.355,Hair Dryer
2024-08-01 16:13:02,3105.9,232,6.575,1544.544,Iron
2024-08-01 16:13:02,4613.476,230,6.449,1507.577,Electric Kettle
2024-08-01 16:20:09,1564.928,231,6.884,1564.928,Hair Dryer
2024-08-01 16:20:09,3057.973,231,6.42,1493.045,Electric Kettle
2024-08-01 16:20:09,3251.543,232,0.878,193.57,TV
2024-08-01 16:27:25,904.943,230,4.129,904.943,Microwave Oven
2024-08-01 16:27:25,2426.57,233,6.482,1521.627,Electric Kettle
2024-08-01 16:27:25,4053.013,232,6.947,1626.443,Hair Dryer
2024-08-01 16:32:52,1503.159,233,6.468,1503.159,Electric Kettle
2024-08-01 16:32:52,2374.581,232,3.971,871.423,Microwave Oven
2024-08-01 16:32:52,3949.936,232,6.885,1575.355,Hair Dryer
2024-08-01 16:38:40,1612.158,233,6.806,1612.158,Hair Dryer
2024-08-01 16:38:40,2511.233,230,4.127,899.076,Microwave Oven
2024-08-01 16:38:40,4019.755,232,6.449,1508.522,Iron
2024-08-01 16:47:08,1472.924,232,6.417,1472.924,Iron
2024-08-01 16:47:08,2955.645,230,6.43,1482.721,Electric Kettle
2024-08-01 16:47:08,4536.121,233,6.77,1580.476,Hair Dryer
2024-08-01 16:52:45,187.121,233,0.857,187.121,TV
2024-08-01 16:52:45,1669.742,230,6.433,1482.622,Iron
2024-08-01 16:52:45,3157.653,230,6.464,1487.91,Electric Kettle
2024-08-01 16:57:55,189.64,230,0.854,189.64,TV
2024-08-01 16:57:55,1833.273,230,7.007,1643.633,Hair Dryer
2024-08-01 16:57:55,3316.12,231,6.539,1482.847,Electric Kettle
2024-08-02 09:00:00,1219.966,232,5.19,1219.966,Coffee Machine
2024-08-02 09:00:00,2743.194,230,6.629,1523.227,Electric Kettle
2024-08-02 09:00:00,4196.003,233,6.323,1452.81,Iron
2024-08-02 09:08:06,1476.904,231,6.523,1476.904,Electric Kettle
2024-08-02 09:08:06,2687.818,232,5.202,1210.914,Coffee Machine
2024-08-02 09:08:06,3183.755,231,2.576,495.937,Washing Machine
2024-08-02 09:16:43,1485.006,233,6.469,1485.006,Iron
2024-08-02 09:16:43,2283.024,233,3.411,798.017,Toaster
2024-08-02 09:16:43,3494.541,233,5.131,1211.517,Coffee Machine
2024-08-02 09:25:11,1504.903,230,6.463,1504.903,Electric Kettle
2024-08-02 09:25:11,2003.405,232,2.553,498.502,Washing Machine
2024-08-02 09:25:11,3495.706,232,6.419,1492.301,Iron
2024-08-02 09:30:44,1457.799,231,6.396,1457.799,Electric Kettle
2024-08-02 09:30:44,1642.78,232,0.873,184.98,Desktop Computer
2024-08-02 09:30:44,2873.676,233,5.231,1230.896,Coffee Machine
2024-08-02 09:35:41,1557.843,233,6.556,1557.843,Electric Kettle
2024-08-02 09:35:41,3087.73,230,6.616,1529.887,Iron
2024-08-02 09:35:41,3597.824,230,2.621,510.094,Washing Machine
2024-08-02 09:43:52,510.555,231,2.612,510.555,Washing Machine
2024-08-02 09:43:52,692.18,232,0.857,181.625,Desktop Computer
2024-08-02 09:43:52,1877.011,230,5.131,1184.831,Coffee Machine
2024-08-02 09:52:47,186.265,230,0.884,186.265,Desktop Computer
2024-08-02 09:52:47,1726.153,233,6.56,1539.888,Electric Kettle
2024-08-02 09:52:47,2899.071,233,5.059,1172.917,Coffee Machine
2024-08-02 10:00:18,1024.324,232,5.189,1024.324,Vacuum Cleaner
2024-08-02 10:00:18,1273.833,231,1.285,249.509,Refrigerator
2024-08-02 10:00:18,1464.41,231,0.856,190.577,TV
2024-08-02 10:07:09,7063.849,233,35.514,7063.849,6 Ton AC
2024-08-02 10:07:09,7257.343,232,0.865,193.494,TV
2024-08-02 10:07:09,8274.153,231,5.254,1016.81,Vacuum Cleaner
2024-08-02 10:11:34,190.572,231,0.857,190.572,TV
2024-08-02 10:11:34,453.461,230,1.322,262.889,Refrigerator
2024-08-02 10:11:34,1460.887,230,5.152,1007.426,Vacuum Cleaner
2024-08-02 10:16:25,250.257,230,1.289,250.257,Refrigerator
